a 啊
a1 吖
a1 錒
a1 锕
aba 阿爸
abidiyu 阿鼻地狱
achangzu 阿昌族
adou 阿斗
aerbeisi 阿尔卑斯
aerfalizi 阿尔法粒子
aerfashexian 阿尔法射线
afei 阿飞
agong 阿公
aha 啊哈
ahaha 啊哈哈
ahong 阿訇
ai 唉 爱 哎
ai1 儗
ai1 呝
ai1 哀 哎 唉 埃 挨 捱 锿
ai1 娭
ai1 欸
ai1 溾
ai1 烠
ai1 磑
ai1 諰
ai1 醷
ai1 鎄
ai1 阨
ai1 阸
ai2 凒
ai2 剴
ai2 啀
ai2 嘊
ai2 娾
ai2 嵦
ai2 挨 捱 癌 皑
ai2 敱
ai2 敳
ai2 溰
ai2 皚
ai2 隑
ai2 騃
ai3 嗳 矮 蔼 霭
ai3 昹
ai3 毐
ai3 濭
ai3 絠
ai3 藹
ai3 譪
ai3 躷
ai3 靄
ai3 鯦
ai4 乂
ai4 伌
ai4 僾
ai4 叆
ai4 嗌 嗳 嫒 暧 爱 瑷 砹 碍 艾 隘
ai4 噯
ai4 堨
ai4 塧
ai4 壒
ai4 嬡
ai4 愛
ai4 懓
ai4 懝
ai4 曖
ai4 欬
ai4 焥
ai4 璦
ai4 皧
ai4 瞹
ai4 硋
ai4 礙
ai4 薆
ai4 譺
ai4 賹
ai4 鑀
ai4 閡
ai4 靉
ai4 餲
ai4 馤
ai4 鱫
ai4 鴱
aia 爱啊
aiai 爱爱
aiai 蔼蔼
aiaifumu 哀哀父母
aibian 挨边
aibian 癌变
aibingbisheng 哀兵必胜
aiboerqingbuzhuan 爱博而情不专
aibuaiwo 爱不爱我
aiburenshi 爱不忍释
aibushishou 爱不释手
aicairuke 爱才如渴
aicairuming 爱财如命
aicairuoke 爱才若渴
aichao 爱巢
aicheng 爱称
aichou 哀愁
aici 哀辞
aici 挨次
aida 挨打
aidabuli 爱答不理
aidai 叆叇
aidai 爱戴
aidao 哀悼
aide 爱的
aidimeidunshu 哀的美敦书
aidundun 矮墩墩
aierbushang 哀而不伤
aifengjifeng 挨风缉缝
aifu 爱抚
aigantiandi 哀感天地
aiganwanyan 哀感顽艳
aiganzhongnian 哀感中年
aigaobinfu 哀告宾服
aige 挨个
aigeer 挨个儿
aiguo 爱国
aiguorujia 爱国如家
aiguowo 爱过我
aiguozhe 爱国者
aiguozhuyi 爱国主义
aihao 哀号
aihao 哀嚎
aihao 爱好
aihaozhe 爱好者
aihe 爱河
aiheshizhong 爱鹤失众
aihongbianye 哀鸿遍野
aihu 爱护
aihu 艾虎
aihui 瑷珲
aihuiguli 哀毁骨立
aijiaaihu 挨家挨户
aijianbingzu 挨肩并足
aijiancabang 挨肩擦膀
aijiancabei 挨肩擦背
aijiancalian 挨肩擦脸
aijiandabei 挨肩搭背
aijianer 挨肩儿
aijie 娭毑
aijin 哀矜
aijin 挨近
aikesishexian 爱克斯射线
aikou 隘口
aikoushixiu 碍口识羞
aiku 哀苦
ailai 爱来
ailian 哀怜
ailian 爱怜
ailian 爱恋
ailibuli 爱理不理
ailicunyang 爱礼存羊
ailisi 爱丽丝
ailizhengshi 哀梨蒸食
ailu 隘路
aimei 暧昧
aimeibuming 暧昧不明
aimeide 爱美的
aimeizhiqing 暧昧之情
aimenzhuhu 挨门逐户
aimianzi 爱面子
aimianzi 碍面子
aiminruzi 爱民如子
aimodayuxinsi 哀莫大于心死
aimonengzhu 爱莫能助
aimu 爱慕
ainai 欸乃
ainan 碍难
aini 僾尼
aini 爱你
aipai 爱拍
aipi 挨批
aiqi 哀启
aiqi 哀戚
aiqi 哀泣
aiqi 嗳气
aiqianruming 爱钱如命
aiqie 哀切
aiqing 爱情
aiqingde 爱情的
aiqiu 哀求
aiqubuqu 爱去不去
airankeqin 蔼然可亲
airanrenzhe 蔼然仁者
airen 爱人
airenhaoshi 爱人好士
airenkanchang 矮人看场
airenliwu 爱人利物
airenyide 爱人以德
airixili 爱日惜力
airong 哀荣
airong 艾绒
airujichu 爱如己出
airuzhenbao 爱如珍宝
aisandingwu 挨三顶五
aishang 哀伤
aishang 爱上
aishansehai 挨山塞海
aishengtanqi 唉声叹气
aishi 碍事
aishouaijiao 碍手碍脚
aisi 哀思
aisihaozhu 哀丝豪竹
aisijimoren 爱斯基摩人
aisuan 嗳酸
aisuhaogu 爱素好古
aitan 哀叹
aitianjiaodi 哀天叫地
aitong 哀恸
aitongyujue 哀痛欲绝
aiwan 哀婉
aiwo 爱我
aiwowo 爱窝窝
aiwowo 艾窝窝
aiwujiwu 爱屋及乌
aixi 爱惜
aixiao 爱小
aixiao 矮小
aixin 爱心
aixing 矮星
aixiyumao 爱惜羽毛
